clade	portion	corr	coef	p	method	pl_error
10	backbone	spearman	0.34301986686664415	0.0	cafe	
10	backbone	spearman	0.9955442209437754	0.0	us	
10	backbone	pearson	0.3842090073895822	0.0	cafe	
10	backbone	pearson	0.9966170071420114	0.0	us	
10	backbone	kendalltau	0.2320370282563998	0.0	cafe	
10	backbone	kendalltau	0.9456231191827682	0.0	us	
10	queries	spearman	0.3310341931509704	0.0	cafe	2.3793103448275863
10	queries	spearman	0.8368836737213359	0.0	us	1.5862068965517242
10	queries	pearson	0.3701263890728995	0.0	cafe	2.3793103448275863
10	queries	pearson	0.813217908823814	0.0	us	1.5862068965517242
10	queries	kendalltau	0.22373272209601514	0.0	cafe	2.3793103448275863
10	queries	kendalltau	0.6872810534114929	0.0	us	1.5862068965517242
11	backbone	spearman	0.3654112432365471	0.0	cafe	
11	backbone	spearman	0.986174027119319	0.0	us	
11	backbone	pearson	0.46483479626467	0.0	cafe	
11	backbone	pearson	0.993470297045357	0.0	us	
11	backbone	kendalltau	0.25098046952195857	0.0	cafe	
11	backbone	kendalltau	0.9080516030321623	0.0	us	
11	queries	spearman	0.4051533988331289	0.0	cafe	1.6
11	queries	spearman	0.9066858771803343	0.0	us	1.08
11	queries	pearson	0.5309881072438196	0.0	cafe	1.6
11	queries	pearson	0.9566569310550854	0.0	us	1.08
11	queries	kendalltau	0.2817129466154531	0.0	cafe	1.6
11	queries	kendalltau	0.7659729256176498	0.0	us	1.08
5	backbone	spearman	0.407799721427383	0.0	cafe	
5	backbone	spearman	0.9969462393286858	0.0	us	
5	backbone	pearson	0.4759587058479339	0.0	cafe	
5	backbone	pearson	0.9981755165131401	0.0	us	
5	backbone	kendalltau	0.28225593973839963	0.0	cafe	
5	backbone	kendalltau	0.9574819627861818	0.0	us	
5	queries	spearman	0.3932069737135004	0.0	cafe	2.0
5	queries	spearman	0.8812717333892585	0.0	us	1.7407407407407407
5	queries	pearson	0.4556496896899554	0.0	cafe	2.0
5	queries	pearson	0.9293563985663451	0.0	us	1.7407407407407407
5	queries	kendalltau	0.2713836455801364	0.0	cafe	2.0
5	queries	kendalltau	0.7260038367015436	0.0	us	1.7407407407407407
2	backbone	spearman	0.47790594107235623	0.0	cafe	
2	backbone	spearman	0.9921325859030067	0.0	us	
2	backbone	pearson	0.5237171129390348	0.0	cafe	
2	backbone	pearson	0.9939295932085571	0.0	us	
2	backbone	kendalltau	0.3314524324179281	0.0	cafe	
2	backbone	kendalltau	0.9287621224094359	0.0	us	
2	queries	spearman	0.4957603139863647	0.0	cafe	3.1702127659574466
2	queries	spearman	0.9395439854409854	0.0	us	1.8936170212765957
2	queries	pearson	0.5241760065553974	0.0	cafe	3.1702127659574466
2	queries	pearson	0.9458954252901501	0.0	us	1.8936170212765957
2	queries	kendalltau	0.3429830421953978	0.0	cafe	3.1702127659574466
2	queries	kendalltau	0.8015332393083258	0.0	us	1.8936170212765957
3	backbone	spearman	0.4253661653968145	0.0	cafe	
3	backbone	spearman	0.9928405670440685	0.0	us	
3	backbone	pearson	0.47104182949372364	0.0	cafe	
3	backbone	pearson	0.9962872209326926	0.0	us	
3	backbone	kendalltau	0.29064669649307195	0.0	cafe	
3	backbone	kendalltau	0.9326141696598995	0.0	us	
3	queries	spearman	0.4459295822658316	0.0	cafe	4.08
3	queries	spearman	0.8156151650751368	0.0	us	2.48
3	queries	pearson	0.4986386465569269	0.0	cafe	4.08
3	queries	pearson	0.8276122789842741	0.0	us	2.48
3	queries	kendalltau	0.3042269386563939	0.0	cafe	4.08
3	queries	kendalltau	0.655431841715549	0.0	us	2.48
4	backbone	spearman	0.4526324442920555	0.0	cafe	
4	backbone	spearman	0.9977458251707249	0.0	us	
4	backbone	pearson	0.5255967441512333	0.0	cafe	
4	backbone	pearson	0.9989811905774628	0.0	us	
4	backbone	kendalltau	0.3095884292184661	0.0	cafe	
4	backbone	kendalltau	0.9640242222003333	0.0	us	
4	queries	spearman	0.38953464459349707	0.0	cafe	2.3636363636363638
4	queries	spearman	0.8902440564297324	0.0	us	1.2727272727272727
4	queries	pearson	0.48605096049546936	0.0	cafe	2.3636363636363638
4	queries	pearson	0.9284242454304086	0.0	us	1.2727272727272727
4	queries	kendalltau	0.26479670675180156	0.0	cafe	2.3636363636363638
4	queries	kendalltau	0.7461616736968264	0.0	us	1.2727272727272727
14	backbone	spearman	0.3323574687122786	0.0	cafe	
14	backbone	spearman	0.9951848494684757	0.0	us	
14	backbone	pearson	0.45889662081359567	0.0	cafe	
14	backbone	pearson	0.9983855666991808	0.0	us	
14	backbone	kendalltau	0.23500228857204838	0.0	cafe	
14	backbone	kendalltau	0.949681602272949	0.0	us	
14	queries	spearman	0.3437803829772705	0.0	cafe	3.25
14	queries	spearman	0.9396047127377938	0.0	us	1.84375
14	queries	pearson	0.47876110951632433	0.0	cafe	3.25
14	queries	pearson	0.9684222235242065	0.0	us	1.84375
14	queries	kendalltau	0.23983394508524725	0.0	cafe	3.25
14	queries	kendalltau	0.8230500994596162	0.0	us	1.84375
13	backbone	spearman	0.4924115574104883	0.0	cafe	
13	backbone	spearman	0.9958110865825207	0.0	us	
13	backbone	pearson	0.602594286677368	0.0	cafe	
13	backbone	pearson	0.9985542099289657	0.0	us	
13	backbone	kendalltau	0.35002640619214764	0.0	cafe	
13	backbone	kendalltau	0.9497503782730434	0.0	us	
13	queries	spearman	0.4931516341115767	0.0	cafe	2.5
13	queries	spearman	0.8587394683041049	0.0	us	1.7777777777777777
