sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
marmgCAMI2_short_read_pooled_gold_standard_assembly	2	Bacteria	superkingdom	0.9973717197117762	0.5501761107153916	666887397	665134630	1208948584	0.9983376233376233	0.9756314851692695	18648	18617	19082	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2157	Archaea	superkingdom	1.0	0.5197600026683651	33285021	33285021	64039212	1.0	0.947085201793722	1056	1056	1115	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	10239	Viruses	superkingdom		0.0	0	0	449662		0.0	0	0	15	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	203682	Planctomycetes	phylum	1.0	1.0	123116	123116	123116	1.0	1.0	10	10	10	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200783	Aquificae	phylum	1.0	1.0	1983735	1983735	1983735	1.0	1.0	11	11	11	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200930	Deferribacteres	phylum	1.0	0.9028740199249848	1736057	1736057	1922812	1.0	0.8764044943820225	78	78	89	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1117	Cyanobacteria	phylum	0.9979587673530539	0.7150139073577605	29304352	29244535	40900652	0.9936143039591315	0.989821882951654	783	778	786	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1239	Firmicutes	phylum	0.9855181612706592	0.6357608751885975	35525185	35010715	55068999	0.9716369529983793	0.9622792937399679	1234	1199	1246	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	203691	Spirochaetes	phylum	0.9968149878460401	0.5963628532179969	3794648	3782562	6342719	0.9230769230769231	0.8571428571428571	13	12	14	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	201174	Actinobacteria	phylum	0.9991239758764174	0.5653917767240949	37561751	37528846	66376710	0.9970559371933267	0.9892891918208374	1019	1016	1027	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28889	Crenarchaeota	phylum	0.9036083111925395	0.5574542483628459	5092410	4601544	8254568	0.9888888888888889	0.967391304347826	90	89	92	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	651137	Thaumarchaeota	phylum	1.0	0.5547704845159191	3767701	3767701	6791459	1.0	0.7696629213483146	137	137	178	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1224	Proteobacteria	phylum	0.9999764966629446	0.540303489137016	458743368	458732586	849027621	0.9999246931244823	0.971963985066979	13279	13278	13661	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	976	Bacteroidetes	phylum	0.9998330469427723	0.5371973524783267	85694747	85680440	159495276	0.9995107632093934	0.977511961722488	2044	2043	2090	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	200918	Thermotogae	phylum	1.0	0.5046932265288805	3744529	3744529	7419416	1.0	0.9763779527559056	124	124	127	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	28890	Euryarchaeota	phylum	0.9968554241861938	0.5012014992520255	24386119	24309435	48502319	0.9939540507859734	0.9739336492890995	827	822	844	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1090	Chlorobi	phylum	1.0	0.4538073172280924	2736366	2736366	6029797	1.0	0.5	1	1	2	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1930617	Calditrichaeota	phylum	1.0	0.4162385024396221	2072131	2072131	4978230	1.0	0.9090909090909091	10	10	11	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	32066	Fusobacteria	phylum	1.0	0.03965434067946123	124206	124206	3132217	1.0	0.3333333333333333	1	1	3	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	508458	Synergistetes	phylum	1.0	0.01592458140650216	31843	31843	1999613	1.0	0.5	1	1	2	True
