sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size (seq)	Filtered
marmgCAMI2_short_read_pooled_gold_standard_assembly	2	Bacteria	superkingdom	0.9968395129623868	0.4877436872038224	591526552	589657040	1208948584	0.9978560826782474	0.9512629703385389	18191	18152	19082	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	2157	Archaea	superkingdom	1.0	0.47876713411151905	30659870	30659870	64039212	1.0	0.9434977578475336	1052	1052	1115	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	10239	Viruses	superkingdom		0.0	0	0	449662		0.0	0	0	15	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	203682	Planctomycetes	phylum	1.0	1.0	123116	123116	123116	1.0	1.0	10	10	10	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	200930	Deferribacteres	phylum	1.0	0.9028740199249848	1736057	1736057	1922812	1.0	0.8764044943820225	78	78	89	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	544448	Tenericutes	phylum	1.0	0.8291175020787265	1557542	1557542	1878554	1.0	0.5	1	1	2	True
marmgCAMI2_short_read_pooled_gold_standard_assembly	1117	Cyanobacteria	phylum	0.9979587673530539	0.7150139073577605	29304352	29244535	40900652	0.9936143039591315	0.989821882951654	783	778	786	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	1239	Firmicutes	phylum	0.984398800542516	0.6017666854630861	33663886	33138689	55068999	0.9699499165275459	0.9325842696629213	1198	1162	1246	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	651137	Thaumarchaeota	phylum	1.0	0.5342709129216564	3628479	3628479	6791459	1.0	0.8033707865168539	143	143	178	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	201174	Actinobacteria	phylum	0.9990488845588077	0.5207145096525574	34596221	34563316	66376710	0.9970414201183432	0.9844206426484907	1014	1011	1027	False
marmgCAMI2_short_read_pooled_gold_standard_assembly	976	Bacteroidetes	phylum	0.9998209405334088	0.5008707781414166	79900830	79886523	159495276	0.9995059288537549	0.9679425837320574	2024	2023	2090	False
