genome	top_class	top_p	0	1	2
Allomyces_macrogynus	0.0	1.0	1.0	1.4015793833678459e-32	3.8983612669849873e-25
Schizosaccharomyces_japonicus	0.0	0.9999699592590332	0.9999699592590332	2.3082644736577285e-12	3.0065297323744744e-05
Botryozyma_nematodophila	0.0	1.0	1.0	6.751571551182403e-14	1.8423759740038292e-10
Golubevia_pallescens	0.0	0.9999995231628418	0.9999995231628418	2.23272115311461e-18	5.357623535928724e-07
Zancudomyces_culisetae	0.0	1.0	1.0	3.4312658830649425e-15	2.566450749632459e-15
Spraguea_lophii	0.0	1.0	1.0	1.6215399666358513e-21	1.2823777571683189e-27
Umbelopsis_isabellina	0.0	0.9999687671661377	0.9999687671661377	6.290748366666321e-09	3.120571273029782e-05
Hemileia_vastatrix	0.0	1.0	1.0	2.132921287777579e-14	4.575411924334638e-11
Metchnikovella_incurvata	0.0	1.0	1.0	9.344942597522277e-10	1.7036410725817185e-16
Nosema_apis	0.0	1.0	1.0	3.2026076422549485e-26	1.0142598284783026e-41
Filobasidium_wieringae	0.0	1.0	1.0	5.014988264721024e-29	8.48796926066441e-21
Vittaforma_corneae	0.0	0.9999986886978149	0.9999986886978149	1.3557302054323372e-06	1.2160585871612284e-09
Entomophthora_muscae	1.0	0.9999940395355225	5.96678319197963e-06	0.9999940395355225	1.0213428193461827e-11
Magnusiomyces_tetraspermus	2.0	1.0	3.614591959077984e-11	6.175285430151351e-18	1.0
Wickerhamiella_domercqiae	2.0	1.0	1.323212373005589e-10	2.2489226481070546e-08	1.0
Tortispora_starmeri	2.0	1.0	2.475238390519184e-17	3.507708277214038e-15	1.0
Malassezia_cuniculi	0.0	1.0	1.0	2.5296418377153153e-30	1.0538332702713857e-20
Limonomyces_culmigenus	0.0	1.0	1.0	2.9185388152385344e-30	9.068731779998565e-18
Edhazardia_aedis	0.0	1.0	1.0	6.714669239816567e-27	6.373680983898625e-29
Tubulinosema_ratisbonensis	0.0	1.0	1.0	7.926098723025074e-28	4.718048054597413e-38
Wickerhamiella_cacticola	2.0	1.0	2.234086027286253e-09	4.531500868987237e-11	1.0
Mixia_osmundae	0.0	1.0	1.0	2.2926225881774963e-23	8.165796164250061e-12
Cystobasidiopsis_lactophilus	0.0	0.9999948740005493	0.9999948740005493	3.068646492465632e-08	5.1427518883429e-06
Gonapodya_prolifera	0.0	1.0	1.0	1.3035094210522212e-23	5.190671568781891e-13
Nematocida_displodere	2.0	1.0	7.625667555796525e-17	2.136132717791063e-26	1.0
Nosema_ceranae	0.0	1.0	1.0	2.167171234406396e-14	7.001545441347988e-26
Neolecta_irregularis	2.0	0.9898805618286133	0.010119400918483734	3.588144892319178e-08	0.9898805618286133
Wickerhamiella_infanticola	2.0	1.0	5.978315660677897e-16	3.8772323296843575e-15	1.0
Moniliella_sp._wahieum	0.0	1.0	1.0	4.3052876802309775e-20	1.4934075943348747e-18
Sugiyamaella_lignohabitans	2.0	1.0	1.7427647303220066e-16	2.7198654439786196e-10	1.0
Botryobasidium_botryosum	0.0	1.0	1.0	2.9371063901438346e-19	7.050728056956501e-11
Protomyces_lactucaedebilis	0.0	1.0	1.0	4.597151720170563e-14	6.279685972609972e-12
Coemansia_reversa	0.0	0.9999892711639404	0.9999892711639404	3.530388828498765e-11	1.0757021300378256e-05
Acaulopage_tetraceros	0.0	1.0	1.0	1.401298464324817e-45	2.0084663986094597e-32
Ascosphaera_apis	2.0	1.0	2.5190145108711093e-12	7.450536362993074e-14	1.0
Bifiguratus_adelaidae	0.0	1.0	1.0	1.2118117214029078e-21	1.3367233986372185e-09
Amphiamblys_sp._WSBS2006	2.0	1.0	1.7728174483977455e-09	1.6726736539092197e-15	1.0
Spencermartinsiella_europaea	2.0	1.0	1.1026720435377397e-15	3.529733463183255e-16	1.0
Dimargaris_cristalligena	2.0	0.9999910593032837	8.726750820642337e-06	2.6275412778886675e-07	0.9999910593032837
Blastobotrys_muscicola	2.0	1.0	5.715389966774425e-18	4.8857823235861055e-17	1.0
Naganishia_albida	0.0	1.0	1.0	4.269406122949491e-27	2.607273026069347e-16
Starmerella_apicola	2.0	1.0	9.333604202022006e-12	2.713727816687538e-19	1.0
Zygoascus_ofunaensis	2.0	1.0	1.8438749208868544e-16	1.0970404291826337e-17	1.0
Trigonopsis_variabilis	2.0	0.999967098236084	1.795385469449684e-05	1.4909726814948954e-05	0.999967098236084
Blastobotrys_mokoenaii	2.0	1.0	3.490337811913947e-18	2.0461395436061763e-13	1.0
Ordospora_colligata	0.0	1.0	1.0	2.9862520619391885e-26	1.9229886224226083e-31
Smittium_megazygosporum	0.0	1.0	1.0	1.7913671499632133e-19	1.2268285414507765e-17
Homolaphlyctis_polyrhiza	0.0	0.9999990463256836	0.9999990463256836	9.115284456129302e-07	4.1900719005560916e-12
Wickerhamiella_versatilis	2.0	0.9999998807907104	1.3707635027060405e-09	6.329240420654969e-08	0.9999998807907104
Conidiobolus_coronatus	1.0	1.0	2.6916988637992745e-09	1.0	1.5763486349573697e-10
Caulochytrium_protostelioides	1.0	0.9998248219490051	0.00017523083079140633	0.9998248219490051	6.126487134141092e-16
Groenewaldozyma_salmanticensis	2.0	1.0	9.619826180656147e-19	1.1859419304730603e-20	1.0
Candida_sorboxylosa	2.0	1.0	2.9082274873977553e-21	1.27806225734008e-32	1.0
Antonospora_locustae	0.0	1.0	1.0	2.5638062730664617e-17	2.1194828390188464e-13
Rozella_allomycis	2.0	0.7208475470542908	0.279152512550354	1.492098250510665e-10	0.7208475470542908
Cochlonema_odontosperma	0.0	1.0	1.0	3.5682114786569127e-37	1.1037420706138529e-13
Candida_boidinii	2.0	1.0	2.5415266595757134e-17	2.950222114237687e-19	1.0
Kazachstania_intestinalis	2.0	1.0	2.3804940744150646e-18	1.402070621289499e-18	1.0
Alloascoidea_hylecoeti	2.0	1.0	2.03419896250038e-15	3.6138078640668425e-10	1.0
Enterospora_canceri	0.0	0.999993085861206	0.999993085861206	2.1764318965362177e-23	6.876107363495976e-06
Candida_ascalaphidarum	2.0	0.9999998807907104	1.193138469968158e-13	6.288424003741966e-08	0.9999998807907104
Lipomyces_oligophaga	2.0	1.0	1.9685679752967644e-09	9.6472710462564e-13	1.0
