genome	top_class
Allomyces_macrogynus	0
Schizosaccharomyces_japonicus	0
Botryozyma_nematodophila	0
Golubevia_pallescens	0
Zancudomyces_culisetae	0
Spraguea_lophii	0
Umbelopsis_isabellina	0
Hemileia_vastatrix	0
Metchnikovella_incurvata	0
Nosema_apis	0
Filobasidium_wieringae	0
Vittaforma_corneae	0
Entomophthora_muscae	0
Magnusiomyces_tetraspermus	0
Wickerhamiella_domercqiae	0
Tortispora_starmeri	0
Malassezia_cuniculi	0
Limonomyces_culmigenus	0
Edhazardia_aedis	0
Tubulinosema_ratisbonensis	0
Wickerhamiella_cacticola	0
Mixia_osmundae	0
Cystobasidiopsis_lactophilus	0
Gonapodya_prolifera	0
Nematocida_displodere	0
Nosema_ceranae	0
Neolecta_irregularis	0
Wickerhamiella_infanticola	0
Moniliella_sp._wahieum	0
Sugiyamaella_lignohabitans	0
Botryobasidium_botryosum	0
Protomyces_lactucaedebilis	0
Coemansia_reversa	0
Acaulopage_tetraceros	0
Ascosphaera_apis	0
Bifiguratus_adelaidae	0
Amphiamblys_sp._WSBS2006	0
Spencermartinsiella_europaea	0
Dimargaris_cristalligena	0
Blastobotrys_muscicola	0
Naganishia_albida	0
Starmerella_apicola	0
Zygoascus_ofunaensis	0
Trigonopsis_variabilis	0
Blastobotrys_mokoenaii	0
Ordospora_colligata	0
Smittium_megazygosporum	0
Homolaphlyctis_polyrhiza	0
Wickerhamiella_versatilis	0
Conidiobolus_coronatus	0
Caulochytrium_protostelioides	0
Groenewaldozyma_salmanticensis	0
Candida_sorboxylosa	0
Antonospora_locustae	0
Rozella_allomycis	0
Cochlonema_odontosperma	0
Candida_boidinii	0
Kazachstania_intestinalis	0
Alloascoidea_hylecoeti	0
Enterospora_canceri	0
Candida_ascalaphidarum	0
Lipomyces_oligophaga	0
Rhizophlyctis_rosea	0
Pyronema_omphalodes	0
Paramicrosporidium_saccamoebae	0
Candida_hispaniensis	0
Tulasnella_calospora	0
Candida_castellii	0
Piptocephalis_cylindrospora	0
Middelhovenomyces_tepae	0
Catenaria_anguillulae	0
Saitoella_complicata	0
Candida_succiphila	0
Ascoidea_asiatica	0
Zoopage_sp._CTAll	0
Clavaria_fumosa	0
Babjeviella_inositovora	0
Blyttiomyces_helicus	0
Arthonia_radiata	0
Zoophagus_insidians	0
