genome	a	true_clade_pl_err	b	method	cond	true_clade
G000006865	10069.0	3.0	0.0003	ours	control	2
G000006925	10069.0	1.0	0.0001	ours	control	8
G000007385	10069.0	1.0	0.0001	ours	control	9
G000007705	10069.0	1.0	0.0001	ours	control	9
G000007845	10069.0	0.0	0.0	ours	control	2
G000008545	10069.0	1.0	0.0001	ours	control	14
G000008665	10069.0	0.0	0.0	ours	control	13
G000010585	10069.0	1.0	0.0001	ours	control	2
G000011185	10069.0	0.0	0.0	ours	control	13
G000011645	10069.0	0.0	0.0	ours	control	2
G000012485	10069.0	0.0	0.0	ours	control	11
G000012725	10069.0	0.0	0.0	ours	control	7
G000012965	10069.0	2.0	0.0002	ours	control	10
G000013125	10069.0	0.0	0.0	ours	control	10
G000014465	10069.0	2.0	0.0002	ours	control	2
G000014505	10069.0	3.0	0.0003	ours	control	2
G000014765	10069.0	0.0	0.0	ours	control	9
G000017045	10069.0	0.0	0.0	ours	control	3
G000017265	10069.0	0.0	0.0	ours	control	7
G000018785	10069.0	0.0	0.0	ours	control	5
G000018945	10069.0	0.0	0.0	ours	control	14
G000020785	10069.0	5.0	0.0005	ours	control	10
G000021025	10069.0	0.0	0.0	ours	control	9
G000023065	10069.0	4.0	0.0004	ours	control	8
G000024605	10069.0	4.0	0.0004	ours	control	5
G000024925	10069.0	1.0	0.0001	ours	control	1
G000026125	10069.0	1.0	0.0001	ours	control	9
G000092565	10069.0	0.0	0.0	ours	control	14
G000093025	10069.0	0.0	0.0	ours	control	9
G000145255	10069.0	1.0	0.0001	ours	control	9
G000147675	10069.0	0.0	0.0	ours	control	3
G000153065	10069.0	3.0	0.0003	ours	control	14
G000153405	10069.0	0.0	0.0	ours	control	8
G000156175	10069.0	0.0	0.0	ours	control	4
G000161935	10069.0	1.0	0.0001	ours	control	2
G000163775	10069.0	0.0	0.0	ours	control	9
G000165465	10069.0	1.0	0.0001	ours	control	5
G000168295	10069.0	0.0	0.0	ours	control	9
G000172095	10069.0	2.0	0.0002	ours	control	7
G000173655	10069.0	0.0	0.0	ours	control	4
G000173975	10069.0	0.0	0.0	ours	control	3
G000177235	10069.0	5.0	0.0005	ours	control	2
G000178835	10069.0	1.0	0.0001	ours	control	3
G000179395	10069.0	0.0	0.0	ours	control	4
G000179775	10069.0	4.0	0.0004	ours	control	7
G000184685	10069.0	1.0	0.0001	ours	control	1
G000186205	10069.0	1.0	0.0001	ours	control	2
G000188155	10069.0	0.0	0.0	ours	control	7
G000191145	10069.0	0.0	0.0	ours	control	8
G000192925	10069.0	0.0	0.0	ours	control	8
G000192965	10069.0	1.0	0.0001	ours	control	8
G000195275	10069.0	2.0	0.0002	ours	control	14
G000196275	10069.0	0.0	0.0	ours	control	4
G000204255	10069.0	1.0	0.0001	ours	control	11
G000210055	10069.0	1.0	0.0001	ours	control	4
G000213975	10069.0	1.0	0.0001	ours	control	5
G000214595	10069.0	0.0	0.0	ours	control	9
G000218895	10069.0	1.0	0.0001	ours	control	11
G000219045	10069.0	1.0	0.0001	ours	control	9
G000219275	10069.0	1.0	0.0001	ours	control	8
G000220235	10069.0	1.0	0.0001	ours	control	6
G000220545	10069.0	1.0	0.0001	ours	control	8
G000220585	10069.0	7.0	0.0007	ours	control	6
G000224335	10069.0	5.0	0.0005	ours	control	6
G000224765	10069.0	1.0	0.0001	ours	control	10
G000225525	10069.0	3.0	0.0003	ours	control	1
G000226625	10069.0	0.0	0.0	ours	control	9
G000228205	10069.0	0.0	0.0	ours	control	2
G000229145	10069.0	4.0	0.0004	ours	control	2
G000230555	10069.0	3.0	0.0003	ours	control	7
G000230655	10069.0	1.0	0.0001	ours	control	14
G000231275	10069.0	1.0	0.0001	ours	control	6
G000235885	10069.0	0.0	0.0	ours	control	6
G000237805	10069.0	0.0	0.0	ours	control	14
G000241345	10069.0	2.0	0.0002	ours	control	4
G000242835	10069.0	4.0	0.0004	ours	control	7
G000245075	10069.0	2.0	0.0002	ours	control	7
G000245175	10069.0	2.0	0.0002	ours	control	13
G000245655	10069.0	1.0	0.0001	ours	control	2
G000247605	10069.0	0.0	0.0	ours	control	3
G000247715	10069.0	3.0	0.0003	ours	control	4
G000248095	10069.0	6.0	0.0006	ours	control	2
G000252485	10069.0	1.0	0.0001	ours	control	14
G000282595	10069.0	2.0	0.0002	ours	control	7
G000283915	10069.0	0.0	0.0	ours	control	10
G000286115	10069.0	3.0	0.0003	ours	control	2
G000292245	10069.0	1.0	0.0001	ours	control	2
G000294515	10069.0	0.0	0.0	ours	control	1
G000297775	10069.0	0.0	0.0	ours	control	9
G000298475	10069.0	0.0	0.0	ours	control	11
G000300115	10069.0	1.0	0.0001	ours	control	14
G000300695	10069.0	1.0	0.0001	ours	control	5
G000300855	10069.0	2.0	0.0002	ours	control	7
G000307245	10069.0	0.0	0.0	ours	control	1
G000309585	10069.0	0.0	0.0	ours	control	2
G000312365	10069.0	0.0	0.0	ours	control	3
G000312545	10069.0	3.0	0.0003	ours	control	7
G000317085	10069.0	2.0	0.0002	ours	control	14
G000317125	10069.0	2.0	0.0002	ours	control	14
G000318295	10069.0	0.0	0.0	ours	control	6
