genome	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G900089075_g_n05_s22	6.0	0.9999969005584717	7.823053893426461e-16	1.3895412907017642e-19	1.4966971889282532e-12	4.917739548915279e-09	4.2727832383349096e-10	4.4320617800255e-15	0.9999969005584717	1.880612679472371e-11	6.683512077110265e-10	9.1684125569369e-13	2.2588648729282568e-09	3.127380296064075e-06	2.377641269632469e-13	1.391186309624955e-14	1.711856025855829e-12
G000018945_ng_n30_s33	14.0	0.9999998807907104	2.4563357465113948e-14	2.2274932852093633e-22	1.1375308374490431e-16	3.7493799060763725e-15	1.5099477191924727e-15	1.082900124026897e-16	2.075066415561519e-20	9.760364166728906e-19	5.925730796521166e-16	8.303472279589426e-20	3.9227812664854866e-10	5.315156670349097e-08	4.610202193958135e-13	2.8947212626917462e-08	0.9999998807907104
G001606005_g_n100_s44	1.0	0.9999014139175415	1.674058049852168e-16	0.9999014139175415	3.2445404725083556e-18	1.1790826011594194e-17	9.859931014943868e-05	3.698240498561933e-12	4.2235664233125894e-18	1.3555815077834669e-21	7.644737046766078e-19	2.7674431553347846e-14	1.5108971203065674e-13	6.899802994578264e-13	3.848020428154074e-19	1.9167280609910797e-11	8.369476435886986e-16
G000298475_ng_n10_s11	11.0	0.9999998807907104	1.4459360358348716e-12	3.2898855081148204e-12	3.3566299984341035e-15	2.956337160752581e-13	2.4038956589200744e-11	9.137717249529942e-10	1.630289858667311e-08	2.8101092564014607e-09	2.985063307647806e-10	1.1207436756421885e-08	1.4229985367819609e-07	0.9999998807907104	8.710983323556576e-12	1.0290147622882273e-09	2.1690429008458523e-08
G000318295_g_n08_s33	6.0	1.0	4.653182377884195e-16	1.3751787161905211e-24	7.179403376893798e-26	8.01600940682749e-21	4.221960022019399e-16	1.3719552499331278e-18	1.0	8.40050298775592e-31	1.1141134469518955e-15	6.7359712795247e-17	1.87316187913156e-16	5.26477776305323e-12	2.3789924443352482e-21	2.2081098683628158e-23	6.995516732942198e-17
G000318295_g_n20_s44	6.0	1.0	2.342045252125193e-15	2.6660241168911488e-20	3.7288327491731324e-19	7.488597110851588e-16	4.4336173560331326e-15	3.4032648796528467e-15	1.0	4.456883875559092e-22	1.7955997338959737e-14	5.938638253030759e-13	2.150620176735729e-12	3.328378683775668e-09	1.3115487933787638e-17	3.9250065801287816e-20	1.8682077369477912e-14
G000008665_g_n05_s44	13.0	0.9999995231628418	1.4713870641517357e-19	1.9261952737036417e-14	7.481708019838001e-18	6.910050309727467e-09	2.9628771658352093e-11	4.0140557544532385e-09	1.3975680421968173e-12	1.952281559138469e-15	3.540306069138577e-12	2.3477636393147427e-13	1.8649132016435033e-08	4.836637685912137e-07	9.108656212099275e-14	0.9999995231628418	2.8205814420201314e-12
G000008665_ng_n50_s33	13.0	1.0	4.2428843827945406e-16	1.4525491113753944e-18	1.40947849434068e-15	1.4223518196576634e-12	2.406652828412792e-11	1.5719162083094318e-11	3.791592907698149e-12	1.3412276287695386e-14	2.520606361911741e-15	1.8829471279930417e-17	1.0124968224944908e-10	2.2814250044689288e-08	1.0255753799643611e-14	1.0	2.4182285947998983e-12
G000283915_g_n30_s44	10.0	1.0	1.6526236495113265e-17	1.0470348796119655e-17	4.683200355293238e-11	9.434790448903385e-11	4.720691611052874e-13	2.775172980307161e-09	1.4557709421617049e-12	8.522004716488008e-13	8.673374796153155e-10	4.956796431643262e-11	1.0	7.751614393501204e-15	4.521797975116926e-14	1.1532079349950626e-15	3.349611477077019e-09
G000153405_g_n30_s33	8.0	0.9999966621398926	1.9469125006178022e-22	1.0327645600170053e-20	1.7645662995931482e-16	5.855590359759686e-19	1.3598675562443139e-17	4.674611545273687e-20	7.876312463104892e-19	4.4638316480660745e-12	0.9999966621398926	3.32555350723851e-06	7.966893117439255e-11	2.9333837283171274e-15	1.2570176669447493e-20	5.099658343423738e-22	3.177723510963313e-17
