genome	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G900089075_g_n05_s22	6.0	1.0	1.8064700462317538e-20	1.791002283745411e-22	1.171441939011146e-19	6.9992291962250874e-09	2.0733927907912175e-09	6.919694747449117e-23	1.0	1.3474631133103543e-11	4.2011663723246534e-18	5.5662061823105106e-21	2.5454244793786705e-19	3.411520401569966e-14	2.683204949460033e-13	1.253012447432775e-17	3.123587473777952e-20
G000018945_ng_n30_s33	14.0	1.0	6.2916988165461755e-27	4.8244665836139395e-37	1.1398660813215736e-34	1.0354349474766146e-28	3.946172076298007e-29	9.308872359924468e-31	3.888153334253295e-35	5.717979326018301e-35	7.341680111693653e-39	1.937995776161222e-42	3.349191150109343e-12	1.1755322986726066e-21	1.1447162136406058e-26	2.2625659330131e-19	1.0
G001606005_g_n100_s44	1.0	1.0	1.842084452079508e-36	1.0	1.4339460693047606e-33	1.3137049071315486e-35	1.0536124923909984e-12	4.542881578696197e-22	7.459373058227697e-31	1.5376485482762874e-33	1.1712179018000242e-35	1.4064603603540316e-22	3.0905263637272376e-23	2.199684211594515e-32	8.292015879105424e-27	2.841263867699459e-18	3.9641960064108036e-32
G000298475_ng_n10_s11	11.0	1.0	4.743206305363214e-22	3.0252480678804944e-18	4.840529477563848e-27	6.780334052382043e-26	2.3819140695838247e-23	1.5823029676128295e-15	3.247534619693626e-12	2.1060855899426682e-15	2.911858963767641e-20	9.557860579378907e-12	1.7349584217405518e-15	1.0	5.955288435662657e-21	8.93279684723951e-19	1.2140335394969504e-12
G000318295_g_n08_s33	6.0	1.0	3.031302824573509e-32	6.24277288765996e-38	1.2370190213113438e-36	1.961817850054744e-44	3.9417319802281715e-30	5.3536131388051766e-39	1.0	0.0	2.4815407067480893e-20	1.8247652548633786e-31	2.3261554507791963e-42	4.0739290413371876e-11	6.2534968804140565e-31	0.0	2.9050342794276165e-21
G000318295_g_n20_s44	6.0	1.0	6.7789978683672375e-31	8.83884104020827e-33	4.859703074278466e-41	1.810993574002228e-38	7.18831546322328e-32	5.245014008218295e-34	1.0	3.9264382970381374e-42	1.3468487954489982e-30	1.2808481836064865e-26	1.049091224159533e-22	2.916464304752727e-18	1.1811897337723958e-24	8.582953093989505e-42	3.62453063767948e-20
G000008665_g_n05_s44	13.0	1.0	0.0	1.275924039880387e-24	2.0881903086838703e-37	4.216319404776412e-27	2.3206385099098774e-23	4.8301360003281827e-23	2.3038578066613323e-34	4.5799361104188416e-33	2.152373814089524e-37	1.6888225951876046e-32	7.537900696425598e-14	1.7295534271078048e-22	1.9294293590961875e-27	1.0	1.6252717820108042e-24
G000008665_ng_n50_s33	13.0	1.0	2.835137881588185e-39	2.141992050882111e-33	2.310068634091849e-36	4.979607126083308e-29	1.352001947296387e-22	1.6639938423008498e-29	5.458694755442995e-20	1.7740653127061983e-28	6.305843089461677e-44	1.1364530545674266e-42	2.507032183716729e-19	2.022945295998049e-17	2.1621330269250818e-30	1.0	2.701808541039122e-26
G000283915_g_n30_s44	10.0	1.0	9.902053640007951e-33	1.1314339138416954e-22	1.770904577015013e-24	8.204980918028503e-20	1.1387082211297918e-22	1.713955075143079e-14	1.1896540986329035e-33	8.78870159679186e-20	1.8093644428053297e-15	1.3544160224172832e-17	1.0	1.2659769470220303e-29	6.449779526162785e-19	7.031285374215303e-25	3.793353509036516e-18
G000153405_g_n30_s33	8.0	1.0	0.0	1.8869955185521203e-39	1.630646854007194e-35	0.0	5.729507550645384e-35	1.3505994858855452e-40	1.401298464324817e-45	7.169089513596099e-25	1.0	6.310465252559391e-14	2.3466885776446733e-21	1.3448673904393167e-37	2.9179237922635666e-40	1.6280425688372157e-40	2.9294832714515977e-36
