sp1	sp2	true	method	dist	clade	portion
G001769855	G001654795	313.56268301	D2star	290.127120472328	10	backbone
G001750925	G001767075	233.16533334	D2star	143.01403660442136	10	backbone
G000299115	G000820845	253.20707598	D2star	330.5869646033149	10	backbone
G001829695	G001772305	301.25460337	D2star	209.60212095194848	10	backbone
G002011745	G001798975	184.3727004	D2star	220.977035036996	10	backbone
G001683985	G001751085	187.1445026	D2star	128.36112052460632	10	backbone
G000829315	G000763135	307.14502615000004	D2star	242.5543827575017	10	backbone
G001871035	G001871035	0.0	D2star	0.0	10	backbone
G001719325	G001931505	295.85495509	D2star	167.9790649915271	10	backbone
G001308895	G001547735	204.54188058	D2star	253.9617370130912	10	backbone
G001770125	G001750925	263.77672615	D2star	170.2838618700347	10	backbone
G001805085	G001797745	165.6357218	D2star	146.77477923225436	10	backbone
G000964615	G001914775	282.70471481999994	D2star	317.4857700144254	10	backbone
G000164905	G000522425	224.95690022	D2star	354.1199911764953	10	backbone
G001797495	G000214095	200.91141716	D2star	214.6697390216162	10	backbone
G001770165	G000020385	210.74632559	D2star	169.12837389072928	10	backbone
G000306885	G000702665	295.84468251	D2star	305.70380902757705	10	backbone
G001790645	G001643955	238.48179032	D2star	256.53686864611547	10	backbone
G000012665	G001548055	252.6770174	D2star	263.876071038736	10	backbone
G000736415	G000403075	251.89627111	D2star	231.8761599540942	10	backbone
G001798855	G001748245	208.92915487	D2star	138.599856255671	10	backbone
G001179945	G000226295	249.73077754	D2star	270.0960875476575	10	backbone
G000017585	G001917825	275.38794312999994	D2star	198.9957299547411	10	backbone
G001803535	G000478445	261.86025056999995	D2star	223.8804303005048	10	backbone
G000711735	G001805205	206.22860114	D2star	200.65558534747333	10	backbone
G001627975	G000472805	245.99743047	D2star	104.0904662641019	10	backbone
G001303745	G001803605	96.52657206	D2star	109.57903416580272	10	backbone
G001724505	G000007025	263.13871515	D2star	327.5623048927801	10	backbone
G001468845	G000309075	324.67723699	D2star	223.5035064142073	10	backbone
G000830175	G001798155	244.79166617999996	D2star	239.9931540547097	10	backbone
G001795535	G000703085	214.46165824	D2star	188.15685106864947	10	backbone
G000422205	G001805205	198.49719929000003	D2star	293.91257942057393	10	backbone
G000964785	G000371825	212.58685426	D2star	231.33857998511252	10	backbone
G001725305	G000964785	309.9368135699999	D2star	318.258927412343	10	backbone
G000023445	G000212675	93.73287399	D2star	175.1398464461666	10	backbone
G001857665	G001443525	225.09919148	D2star	77.77608125945169	10	backbone
G001468885	G001897445	310.58475143000004	D2star	121.21038007513458	10	backbone
G001874005	G000421065	236.73264642	D2star	218.75024904479176	10	backbone
G001304365	G001975945	223.23247226	D2star	186.5842751823755	10	backbone
G000242615	G001798805	212.27655832999997	D2star	180.18661012048588	10	backbone
G001468865	G000495505	300.17852689	D2star	222.79600174238652	10	backbone
G000007025	G001795535	256.12298586	D2star	280.78821328129726	10	backbone
G000970895	G000964795	163.45766522999998	D2star	159.84198888057608	10	backbone
G001184205	G002002505	213.94655857	D2star	228.68234792573327	10	backbone
G000429925	G001798475	200.22637268	D2star	214.87519343504889	10	backbone
G000737315	G000262365	215.74745171	D2star	291.3397649425884	10	backbone
G000017505	G000175575	204.8129694	D2star	250.6690597030785	10	backbone
G000522465	G000183725	114.66332735	D2star	283.93954413394846	10	backbone
G001771315	G001797515	254.06454139	D2star	187.8170016629714	10	backbone
G001790695	G001968985	199.25256481	D2star	149.46576861721434	10	backbone
G000022565	G000619805	229.72619741	D2star	318.7323994252536	10	backbone
G001725305	G001790865	216.97057535	D2star	293.71716601230906	10	backbone
G000621005	G001829755	154.37436479	D2star	123.12666729215115	10	backbone
G001803535	G000274085	260.00716991	D2star	285.27190828120905	10	backbone
G000789415	G000789415	0.0	D2star	0.0	10	backbone
G000519265	G000512675	325.1569984	D2star	281.5667773743052	10	backbone
G001781965	G000711295	249.1476975	D2star	263.04266760981176	10	backbone
G001803685	G001769935	230.24289649	D2star	236.11732605995397	10	backbone
G000621145	G000483025	206.81336779000003	D2star	107.9330817033028	10	backbone
G000404705	G001637495	301.450976	D2star	145.62083602297474	10	backbone
G000376585	G000519125	275.32216308	D2star	287.68406667651044	10	backbone
G000526455	G001548275	221.28728985	D2star	287.3063704052	10	backbone
G001920795	G000423825	185.77617924	D2star	141.94119382149674	10	backbone
G000179915	G000237285	303.83064679999995	D2star	366.03325761553737	10	backbone
G000429945	G001920375	226.51028612	D2star	204.04094885903464	10	backbone
G001027285	G000512235	198.94302483	D2star	245.5767253129978	10	backbone
G000172475	G900142115	310.66019568	D2star	127.47442252979172	10	backbone
G000620965	G001803645	271.69118402	D2star	262.95616048836644	10	backbone
G000744435	G000172475	278.47989969	D2star	149.05794933040065	10	backbone
G001803955	G001273775	157.2477305	D2star	271.4771119507311	10	backbone
G900104045	G001304105	188.36392073	D2star	203.34889188747204	10	backbone
G900115615	G001184205	240.11345504	D2star	261.4345620129442	10	backbone
G900114975	G001464715	211.32530802	D2star	219.6933311455484	10	backbone
G001547735	G000388175	261.48458418	D2star	164.54813076420442	10	backbone
G000020305	G001797505	271.72304271	D2star	364.4050700083343	10	backbone
G001918335	G000381585	182.74134853	D2star	125.28007670812949	10	backbone
G000186245	G000404705	245.81242909	D2star	190.55201699366697	10	backbone
G900000025	G000688615	301.98916374999993	D2star	297.2600960665029	10	backbone
G000373985	G001672295	228.29460072	D2star	170.76660250310016	10	backbone
G000025725	G001006305	224.88797681	D2star	232.9729466724189	10	backbone
G001443525	G000429965	174.48198599	D2star	180.7195557793901	10	backbone
G001830855	G000218625	226.11543634999995	D2star	162.2271138004258	10	backbone
G000185805	G000384395	210.13164919	D2star	296.700116932147	10	backbone
G000213355	G001654785	296.35007123	D2star	234.228844703402	10	backbone
G001797895	G001683985	148.42040295	D2star	164.1356771673133	10	backbone
G001705645	G001593535	261.73268965	D2star	202.62825667043197	10	backbone
G001655195	G001652585	253.44880618	D2star	272.8813079041919	10	backbone
G000429905	G000736415	261.73717664	D2star	264.39820330745954	10	backbone
G000022145	G001803945	191.44002337	D2star	377.2753214783653	10	backbone
G001180045	G001803925	255.63410441	D2star	224.03027299300825	10	backbone
G000331715	G000317895	287.12351985000004	D2star	277.6337928885945	10	backbone
G000420465	G000274085	332.0036786900001	D2star	242.83166897713448	10	backbone
G001798605	G001443445	194.47721161	D2star	303.02286064778485	10	backbone
G900105625	G000147355	267.95544793	D2star	262.75379561498545	10	backbone
G001006305	G000381625	129.14902095	D2star	57.41392687974895	10	backbone
G001769855	G001654795	313.56268301	us	313.64273	10	backbone
G001750925	G001767075	233.16533334	us	250.06653	10	backbone
G000299115	G000820845	253.20707598	us	250.47064	10	backbone
G001829695	G001772305	301.25460337	us	299.71716	10	backbone
G002011745	G001798975	184.3727004	us	184.70892	10	backbone
G001683985	G001751085	187.1445026	us	187.07916	10	backbone
G000829315	G000763135	307.14502615000004	us	308.35373	10	backbone
G001871035	G001871035	0.0	us	0.0	10	backbone
G001719325	G001931505	295.85495509	us	301.86008	10	backbone
G001308895	G001547735	204.54188058	us	204.64586	10	backbone
G001770125	G001750925	263.77672615	us	261.83298	10	backbone
G001805085	G001797745	165.6357218	us	169.29037	10	backbone
