genome	true_class	top_class	top_p	0	1	2
Candida_mycetangii	2	2.0	1.0	1.3100939444204878e-24	1.3207546796400877e-20	1.0
Penicillium_steckii	2	2.0	1.0	3.210983996054795e-13	3.809054634207332e-12	1.0
Capronia_epimyces	2	2.0	1.0	3.723694478983833e-15	3.7935097771391035e-12	1.0
Aspergillus_campestris	2	2.0	1.0	6.087057398927731e-13	1.5042231783085613e-13	1.0
Russula_griseocarnosa	0	0.0	1.0	1.0	5.768308432872199e-18	1.1920544541429209e-15
Steccherinum_ochraceum	0	0.0	1.0	1.0	1.1969540252276223e-28	2.2194225623994868e-11
Trichoderma_virens	1	1.0	1.0	1.988680357589169e-19	1.0	8.012797511006836e-14
Epicoccum_sorghinum	2	2.0	1.0	2.4924716804375358e-11	4.4148356709771894e-14	1.0
Talaromyces_pinophilus	2	2.0	1.0	3.503073482333252e-12	1.1128971355578443e-10	1.0
Fusarium_phaseoli	1	1.0	1.0	1.4739067573152544e-30	1.0	7.799830769196062e-26
Kazachstania_yakushimaensis	2	2.0	1.0	1.397504325814265e-19	4.1073821337382514e-20	1.0
Cunninghamella_bertholletiae	0	0.0	1.0	1.0	2.62761190975183e-31	6.454111367633149e-19
Ogataea_kodamae	2	2.0	1.0	2.5110654357334277e-16	3.01539567470074e-19	1.0
Pseudogymnoascus_sp._VKM_F-4281_FW-2241	1	1.0	1.0	2.862112470311019e-14	1.0	5.346733056299513e-10
Leptosphaeria_maculans	2	2.0	1.0	7.287718554573893e-23	1.045065794427931e-13	1.0
Botryosphaeria_dothidea	2	2.0	1.0	2.7600734022403887e-18	1.8920357054902966e-15	1.0
Tricholoma_sp._MG77	0	0.0	1.0	1.0	1.7306335641561e-17	3.025125655076004e-15
Capronia_coronata	2	2.0	1.0	1.6997867550343562e-14	8.735878536671963e-15	1.0
Ogataea_philodendri	2	2.0	1.0	4.804424814616495e-24	5.657117683230587e-29	1.0
Pleosporales_sp._UM_1110_2012	2	2.0	1.0	1.7971726884447037e-10	9.455480018752405e-13	1.0
Spathaspora_girioi	2	2.0	1.0	6.023529538248503e-15	5.972199124126831e-11	1.0
Saksenaea_vasiformis	0	0.0	1.0	1.0	6.551613763685931e-22	7.585388046849051e-12
Ogataea_ramenticola	2	2.0	1.0	4.520018855864856e-19	5.061149814345449e-22	1.0
Trichoderma_pleuroti	1	1.0	1.0	3.716401474627005e-22	1.0	7.07203337978616e-19
Rhodotorula_graminis	0	0.0	1.0	1.0	7.440894845564779e-43	0.0
Kazachstania_africana	2	2.0	1.0	3.3530995227583e-14	4.9147938637740554e-17	1.0
Salmacisia_buchloeana	0	0.0	1.0	1.0	2.476866227519402e-22	1.4639549281016448e-30
Candida_rhagii	2	2.0	1.0	1.194861975158847e-25	8.958030547183517e-23	1.0
Aspergillus_terreus	2	2.0	1.0	4.689825594929656e-14	1.493357136317509e-17	1.0
Exophiala_aquamarina	2	2.0	1.0	2.699155613237027e-15	2.682187139058101e-09	1.0
Kregervanrija_delftensis	2	2.0	1.0	1.5302432386737745e-22	1.2803707501955048e-24	1.0
Cutaneotrichosporon_arboriformis	0	0.0	1.0	1.0	1.1876765217552355e-19	9.163160888267396e-22
Cryptococcus_gattii_VGI	0	0.0	1.0	1.0	1.2029694731671703e-12	4.5127622342114315e-13
Bipolaris_zeicola	2	2.0	1.0	2.7491471321638983e-09	2.1810164785307506e-11	1.0
Trichoderma_koningiopsis	1	1.0	1.0	3.742655971184659e-19	1.0	3.242187117738493e-12
Malassezia_restricta	0	0.0	1.0	1.0	6.815000175083431e-27	8.552219545392186e-22
Encephalitozoon_intestinalis	0	0.0	1.0	1.0	4.3338534538861495e-08	3.544150433201776e-12
Lactarius_indigo	0	0.0	1.0	1.0	1.1196108502961872e-20	2.4830064423281804e-14
Tilletia_indica	0	0.0	1.0	1.0	5.0627282461307055e-24	4.164716531709911e-13
Plicaturopsis_crispa	0	0.0	1.0	1.0	5.720927589828083e-34	2.765695133441536e-15
Ramaria_cf._rubripermanens	0	0.0	1.0	1.0	2.2446846146151763e-19	2.5246224379366104e-20
Pseudogymnoascus_pannorum	1	1.0	1.0	3.608786243469199e-14	1.0	1.167121288503381e-09
Aspergillus_fischeri	2	2.0	1.0	2.085661504613867e-12	5.3458244910842626e-14	1.0
Starmera_quercuum	2	2.0	1.0	1.8540942410465795e-17	3.0709506352137717e-21	1.0
Pseudozyma_hubeiensis	0	0.0	1.0	1.0	9.853227693617787e-24	7.865175177812489e-11
Rhizopus_azygosporus	0	0.0	1.0	1.0	9.37413172830159e-21	1.0066594058096535e-23
Fusarium_langsethiae	1	1.0	1.0	1.9588855277447026e-13	1.0	3.2313216772467124e-12
Lipomyces_suomiensis	2	2.0	1.0	8.188923317220542e-09	1.2674478654106647e-11	1.0
Candida_vartiovaarae	2	2.0	1.0	1.5826031415309577e-17	9.754761128795014e-23	1.0
Tetrapisispora_namnaonensis	2	2.0	1.0	2.640048180069243e-10	1.7457701950718274e-11	1.0
Mycena_citricolor	0	0.0	1.0	1.0	3.608465139508033e-24	1.898037662369928e-13
