genome	top_class	top_p	0	1
Aromia_moschata	1.0	1.0	3.2083580236985654e-09	1.0
Cyrtorhinus_lividipennis	1.0	1.0	4.967743944714841e-16	1.0
Mengenilla_moldrzyki	1.0	1.0	5.166575847703747e-11	1.0
Agraylea_sexmaculata	0.0	0.9977565407752991	0.9977565407752991	0.0022435043938457966
Cryptocephalus_moraei	1.0	1.0	4.1690002144934013e-13	1.0
Pseudomyrmex_elongatus	1.0	1.0	3.7339185562923483e-13	1.0
Hycleus_cichorii	1.0	1.0	4.917387802977972e-22	1.0
Parapsyche_elsis	0.0	0.9995701909065247	0.9995701909065247	0.00042977172415703535
Ctenocephalides_felis	1.0	1.0	3.911712100068687e-12	1.0
Hydropsyche_betteni	0.0	0.95342618227005	0.95342618227005	0.04657384380698204
Oryzaephilus_surinamensis	1.0	1.0	3.650209288611839e-15	1.0
Forficula_auricularia	1.0	1.0	6.388466144979787e-11	1.0
Lethocerus_indicus	1.0	1.0	6.94260829381399e-11	1.0
Uranotaenia_lowii	1.0	1.0	1.371123995456058e-17	1.0
Blattella_germanica	1.0	1.0	2.8338729141097474e-09	1.0
Culicoides_sonorensis	1.0	1.0	6.565666041056362e-17	1.0
Gonocerus_acuteangulatus	1.0	1.0	1.0885623804606144e-15	1.0
Dendroctonus_valens	1.0	1.0	1.4977678618669887e-16	1.0
Macrosteles_quadrilineatus	1.0	1.0	4.9569550242267724e-08	1.0
Calosoma_granatense	1.0	0.9999998807907104	6.175211098025102e-08	0.9999998807907104
Ceutorhynchus_assimilis	1.0	1.0	4.346968003111386e-15	1.0
Anoplius_nigerrimus	1.0	1.0	1.9347155781200727e-14	1.0
Danaus_chrysippus	0.0	1.0	1.0	2.7120458767626587e-08
Schistocerca_nitens	1.0	1.0	1.5085805868397806e-11	1.0
Eciton_burchellii	1.0	1.0	7.613244342141623e-20	1.0
Liostenogaster_flavolineata	1.0	1.0	1.1642743931539798e-18	1.0
Dolichoris_vasculosae	1.0	0.9999997615814209	2.7539442726265406e-07	0.9999997615814209
Liposcelis_brunnea	1.0	1.0	8.524644736502649e-19	1.0
Bemisia_tabaci	1.0	1.0	1.3228996966164615e-17	1.0
Limonius_californicus	1.0	1.0	1.2944535851197592e-12	1.0
Acanthosoma_haemorrhoidale	1.0	0.9997419714927673	0.00025807495694607496	0.9997419714927673
Asbolus_verrucosus	1.0	1.0	1.1679930460306576e-11	1.0
Mayetiola_destructor	1.0	1.0	1.5395521444541808e-23	1.0
Thrips_palmi	1.0	1.0	2.4338363355941306e-12	1.0
Sweltsa_coloradensis	1.0	0.9999972581863403	2.769933871604735e-06	0.9999972581863403
Orussus_abietinus	1.0	1.0	1.3205535840180027e-12	1.0
Elmis_aenea	1.0	1.0	3.0714433817483067e-13	1.0
Nesidiocoris_tenuis	1.0	1.0	1.0524213639556251e-16	1.0
Sitophilus_oryzae	1.0	1.0	2.0795949406959835e-09	1.0
Lagria_hirta	1.0	1.0	1.2371556556978192e-10	1.0
Priacma_serrata	1.0	1.0	1.7763883697341498e-09	1.0
Photinus_pyralis	1.0	1.0	2.7810092770308437e-11	1.0
Euproctis_similis	0.0	1.0	1.0	6.072501171610484e-14
Cloeon_dipterum	1.0	1.0	2.219889886093657e-17	1.0
Pissodes_strobi	1.0	0.9999992847442627	7.181233172559587e-07	0.9999992847442627
Rhyzopertha_dominica	1.0	0.9999998807907104	1.220242040744779e-07	0.9999998807907104
Baetis_rhodani	1.0	1.0	5.0240068588626105e-14	1.0
Cryptotermes_secundus	1.0	1.0	1.787239911621441e-09	1.0
Athripsodes_cinereus	0.0	0.999993085861206	0.999993085861206	6.885950824653264e-06
Ricinus_marginatus	1.0	1.0	1.9522899871162944e-14	1.0
Brassicogethes_aeneus	1.0	1.0	1.4248337620870188e-08	1.0
Ephemera_danica	1.0	1.0	2.0678929055217843e-11	1.0
Thecophora_atra	1.0	1.0	4.715119015174206e-14	1.0
Dendroctonus_ponderosae	1.0	1.0	1.1091170179717241e-17	1.0
Dactylopius_coccus	1.0	0.9910552501678467	0.008944723755121231	0.9910552501678467
Micropterix_aruncella	0.0	0.6208031177520752	0.6208031177520752	0.3791968524456024
Trachymyrmex_zeteki	1.0	0.9999990463256836	9.94528363662539e-07	0.9999990463256836
Oncopeltus_fasciatus	1.0	1.0	1.0692484834280876e-14	1.0
Dinocampus_coccinellae	1.0	0.9999998807907104	9.107398568630742e-08	0.9999998807907104
Vandiemenella_viatica	1.0	1.0	6.673155916736562e-10	1.0
