genome count pl_error ratio cond
G000183865 10183.0 2.0 0.1268 depp
G000286355 10183.0 0.0 0.1266 depp
G000340945 10183.0 0.0 0.1266 depp
G000508305 10183.0 4.0 0.127 depp
G000523715 10183.0 1.0 0.1267 depp
G000690595 10183.0 0.0 0.1266 depp
G000715615 10183.0 0.0 0.1266 depp
G000715635 10183.0 1.0 0.1267 depp
G000715685 10183.0 1.0 0.1267 depp
G000715915 10183.0 0.0 0.1266 depp
G000720845 10183.0 0.0 0.1266 depp
G000741495 10183.0 0.0 0.1266 depp
G000753835 10183.0 0.0 0.1266 depp
G001311865 10183.0 2.0 0.1268 depp
G001312405 10183.0 1.0 0.1267 depp
G001312425 10183.0 0.0 0.1266 depp
G001312525 10183.0 1.0 0.1267 depp
G001465115 10183.0 0.0 0.1266 depp
G001517445 10183.0 0.0 0.1266 depp
G001622165 10183.0 0.0 0.1266 depp
G001700545 10183.0 2.0 0.1268 depp
G001896575 10183.0 1.0 0.1267 depp
G001938995 10183.0 1.0 0.1267 depp
G002009475 10183.0 1.0 0.1267 depp
G002067065 10183.0 1.0 0.1267 depp
G002102225 10183.0 1.0 0.1267 depp
G002159075 10183.0 0.0 0.1266 depp
G002162835 10183.0 0.0 0.1266 depp
G002167805 10183.0 1.0 0.1267 depp
G002189105 10183.0 0.0 0.1266 depp
G002279095 10183.0 1.0 0.1267 depp
G002336855 10183.0 1.0 0.1267 depp
G002353485 10183.0 1.0 0.1267 depp
G002370555 10183.0 0.0 0.1266 depp
G002372235 10183.0 0.0 0.1266 depp
G002397275 10183.0 1.0 0.1267 depp
G002419365 10183.0 1.0 0.1267 depp
G002434285 10183.0 1.0 0.1267 depp
G002439665 10183.0 2.0 0.1268 depp
G002456035 10183.0 0.0 0.1266 depp
G002498285 10183.0 1.0 0.1267 depp
G002501655 10183.0 2.0 0.1268 depp
G002502735 10183.0 1.0 0.1267 depp
G002502785 10183.0 0.0 0.1266 depp
G002505765 10183.0 0.0 0.1266 depp
G002508545 10183.0 1.0 0.1267 depp
G002551355 10183.0 0.0 0.1266 depp
G002720745 10183.0 1.0 0.1267 depp
G002763895 10183.0 1.0 0.1267 depp
G002855745 10183.0 1.0 0.1267 depp
G002902575 10183.0 1.0 0.1267 depp
G002973635 10183.0 1.0 0.1267 depp
G003050565 10183.0 1.0 0.1267 depp
G003243515 10183.0 0.0 0.1266 depp
G003315655 10183.0 0.0 0.1266 depp
G003315675 10183.0 0.0 0.1266 depp
G003388715 10183.0 0.0 0.1266 depp
G003491305 10183.0 3.0 0.1269 depp
G003569145 10183.0 2.0 0.1268 depp
G003605065 10183.0 3.0 0.1269 depp
G003712105 10183.0 0.0 0.1266 depp
G003712165 10183.0 1.0 0.1267 depp
G003864475 10183.0 5.0 0.1271 depp
G004000035 10183.0 2.0 0.1268 depp
G004143605 10183.0 2.0 0.1268 depp
G004193205 10183.0 0.0 0.1266 depp
G004298145 10183.0 1.0 0.1267 depp
G004554205 10183.0 1.0 0.1267 depp
G004569275 10183.0 1.0 0.1267 depp
G005524015 10183.0 0.0 0.1266 depp
G006352045 10183.0 1.0 0.1267 depp
G006383075 10183.0 2.0 0.1268 depp
G008123405 10183.0 1.0 0.1267 depp
G008501705 10183.0 1.0 0.1267 depp
G009663185 10183.0 0.0 0.1266 depp
G009738435 10183.0 0.0 0.1266 depp
G009936195 10183.0 1.0 0.1267 depp
G010912745 10183.0 0.0 0.1266 depp
G011056635 10183.0 3.0 0.1269 depp
G011174705 10183.0 4.0 0.127 depp
G011390935 10183.0 0.0 0.1266 depp
G012026935 10183.0 0.0 0.1266 depp
G012269805 10183.0 0.0 0.1266 depp
G012524135 10183.0 1.0 0.1267 depp
G012728895 10183.0 1.0 0.1267 depp
G012837155 10183.0 0.0 0.1266 depp
G012838205 10183.0 1.0 0.1267 depp
G012955525 10183.0 0.0 0.1266 depp
G900016675 10183.0 0.0 0.1266 depp
G900066445 10183.0 1.0 0.1267 depp
G900066505 10183.0 1.0 0.1267 depp
G900066695 10183.0 0.0 0.1266 depp
G900066755 10183.0 1.0 0.1267 depp
G900066835 10183.0 0.0 0.1266 depp
G900066925 10183.0 1.0 0.1267 depp
G900078385 10183.0 0.0 0.1266 depp
G900079725 10183.0 0.0 0.1266 depp
G900170005 10183.0 0.0 0.1266 depp
G900538805 10183.0 0.0 0.1266 depp
G900539315 10183.0 0.0 0.1266 depp
G900539325 10183.0 1.0 0.1267 depp
G900539755 10183.0 1.0 0.1267 depp
G900539835 10183.0 0.0 0.1266 depp
G900540375 10183.0 2.0 0.1268 depp
G900544175 10183.0 1.0 0.1267 depp
G900544195 10183.0 1.0 0.1267 depp
G900544795 10183.0 0.0 0.1266 depp
G900544885 10183.0 0.0 0.1266 depp
G900545025 10183.0 0.0 0.1266 depp
G900545365 10183.0 3.0 0.1269 depp
G900546355 10183.0 0.0 0.1266 depp
G900548585 10183.0 5.0 0.1271 depp
G900618065 10183.0 0.0 0.1266 depp
G902168085 10183.0 1.0 0.1267 depp
G902388455 10183.0 1.0 0.1267 depp
G902510995 10183.0 0.0 0.1266 depp
G902519215 10183.0 0.0 0.1266 depp
G902519845 10183.0 0.0 0.1266 depp
G902521955 10183.0 0.0 0.1266 depp
G902526805 10183.0 1.0 0.1267 depp
G902527555 10183.0 1.0 0.1267 depp
G902529115 10183.0 1.0 0.1267 depp
G902584065 10183.0 1.0 0.1267 depp
G902605755 10183.0 2.0 0.1268 depp
G902610815 10183.0 0.0 0.1266 depp
G902613625 10183.0 1.0 0.1267 depp
G902619825 10183.0 0.0 0.1266 depp
G902626505 10183.0 1.0 0.1267 depp
G000183865 10183.0 1.0 0.1267 depp_16s
G000286355 10183.0 0.0 0.1266 depp_16s
G000340945 10183.0 0.0 0.1266 depp_16s
G000508305 10183.0 3.0 0.1269 depp_16s
G000523715 10183.0 0.0 0.1266 depp_16s
G000690595 10183.0 0.0 0.1266 depp_16s
G000715615 10183.0 0.0 0.1266 depp_16s
G000715635 10183.0 3.0 0.1269 depp_16s
G000715685 10183.0 3.0 0.1269 depp_16s
G000715915 10183.0 0.0 0.1266 depp_16s
G000720845 10183.0 0.0 0.1266 depp_16s
G000741495 10183.0 0.0 0.1266 depp_16s
G000753835 10183.0 0.0 0.1266 depp_16s
G001311865 10183.0 2.0 0.1268 depp_16s
G001312405 10183.0 1.0 0.1267 depp_16s
G001312425 10183.0 0.0 0.1266 depp_16s
G001312525 10183.0 1.0 0.1267 depp_16s
G001465115 10183.0 0.0 0.1266 depp_16s
G001517445 10183.0 1.0 0.1267 depp_16s
G001622165 10183.0 0.0 0.1266 depp_16s
G001700545 10183.0 1.0 0.1267 depp_16s
G001896575 10183.0 18.6 0.12838 depp_16s
G001938995 10183.0 2.0 0.1268 depp_16s
G002009475 10183.0 1.0 0.1267 depp_16s
G002067065 10183.0 3.0 0.1269 depp_16s
G002102225 10183.0 1.0 0.1267 depp_16s
G002159075 10183.0 9.0 0.1275 depp_16s
G002162835 10183.0 0.0 0.1266 depp_16s
G002167805 10183.0 1.0 0.1267 depp_16s
G002189105 10183.0 0.0 0.1266 depp_16s
G002279095 10183.0 1.0 0.1267 depp_16s
G002336855 10183.0 2.0 0.1268 depp_16s
G002353485 10183.0 3.0 0.1269 depp_16s
G002370555 10183.0 0.0 0.1266 depp_16s
G002372235 10183.0 2.0 0.1268 depp_16s
G002397275 10183.0 3.0 0.1269 depp_16s
G002419365 10183.0 1.0 0.1267 depp_16s
G002434285 10183.0 3.0 0.1269 depp_16s
G002439665 10183.0 5.0 0.1271 depp_16s
G002456035 10183.0 5.0 0.1271 depp_16s
G002498285 10183.0 1.0 0.1267 depp_16s
G002501655 10183.0 0.0 0.1266 depp_16s
G002502735 10183.0 8.0 0.1274 depp_16s
G002502785 10183.0 1.0 0.1267 depp_16s
G002505765 10183.0 2.0 0.1268 depp_16s
G002508545 10183.0 1.0 0.1267 depp_16s
G002551355 10183.0 0.0 0.1266 depp_16s
G002720745 10183.0 3.0 0.1269 depp_16s
G002763895 10183.0 1.0 0.1267 depp_16s
G002855745 10183.0 0.0 0.1266 depp_16s
G002902575 10183.0 1.0 0.1267 depp_16s
G002973635 10183.0 3.0 0.1269 depp_16s
G003050565 10183.0 4.0 0.127 depp_16s
G003243515 10183.0 22.0 0.1287 depp_16s
G003315655 10183.0 0.0 0.1266 depp_16s
G003315675 10183.0 1.0 0.1267 depp_16s
G003388715 10183.0 0.0 0.1266 depp_16s
G003491305 10183.0 1.0 0.1267 depp_16s
G003569145 10183.0 3.0 0.1269 depp_16s
G003605065 10183.0 5.0 0.1271 depp_16s
G003712105 10183.0 0.0 0.1266 depp_16s
G003712165 10183.0 10.5 0.1276 depp_16s
G003864475 10183.0 6.0 0.1272 depp_16s
G004000035 10183.0 26.0 0.1291333333333333 depp_16s
G004143605 10183.0 0.0 0.1266 depp_16s
G004193205 10183.0 0.0 0.1266 depp_16s
G004298145 10183.0 1.0 0.1267 depp_16s
G004554205 10183.0 27.0 0.1292 depp_16s
G004569275 10183.0 2.0 0.1268 depp_16s
G005524015 10183.0 0.0 0.1266 depp_16s
G006352045 10183.0 3.0 0.1269 depp_16s
G006383075 10183.0 1.0 0.1267 depp_16s
G008123405 10183.0 1.0 0.1267 depp_16s
G008501705 10183.0 1.0 0.1267 depp_16s
G009663185 10183.0 6.0 0.1272 depp_16s
G009738435 10183.0 1.0 0.1267 depp_16s
G009936195 10183.0 1.0 0.1267 depp_16s
G010912745 10183.0 0.0 0.1266 depp_16s
G011056635 10183.0 3.0 0.1269 depp_16s
G011174705 10183.0 1.0 0.1266999999999999 depp_16s
G011390935 10183.0 4.0 0.127 depp_16s
G012026935 10183.0 0.0 0.1266 depp_16s
G012269805 10183.0 2.0 0.1268 depp_16s
G012524135 10183.0 2.0 0.1268 depp_16s
G012728895 10183.0 2.0 0.1268 depp_16s
G012837155 10183.0 1.0 0.1267 depp_16s
G012838205 10183.0 2.0 0.1268 depp_16s
G012955525 10183.0 0.0 0.1266 depp_16s
G900016675 10183.0 4.0 0.127 depp_16s
G900066445 10183.0 0.0 0.1266 depp_16s
G900066505 10183.0 1.0 0.1267 depp_16s
G900066695 10183.0 0.0 0.1266 depp_16s
G900066755 10183.0 1.0 0.1267 depp_16s
G900066835 10183.0 0.0 0.1266 depp_16s
G900066925 10183.0 1.0 0.1267 depp_16s
G900078385 10183.0 0.0 0.1266 depp_16s
G900079725 10183.0 0.0 0.1266 depp_16s
G900170005 10183.0 0.0 0.1266 depp_16s
G900538805 10183.0 0.0 0.1266 depp_16s
G900539315 10183.0 1.0 0.1267 depp_16s
G900539325 10183.0 9.0 0.1275 depp_16s
G900539755 10183.0 0.0 0.1266 depp_16s
G900539835 10183.0 2.0 0.1268 depp_16s
G900540375 10183.0 6.0 0.1272 depp_16s
G900544175 10183.0 3.0 0.1269 depp_16s
G900544195 10183.0 3.0 0.1269 depp_16s
G900544795 10183.0 4.0 0.127 depp_16s
G900544885 10183.0 1.0 0.1267 depp_16s
G900545025 10183.0 8.0 0.1274 depp_16s
G900545365 10183.0 1.0 0.1267 depp_16s
G900546355 10183.0 4.0 0.127 depp_16s
G900548585 10183.0 4.0 0.127 depp_16s
G900618065 10183.0 1.0 0.1267 depp_16s
G902168085 10183.0 6.5 0.12725 depp_16s
G902388455 10183.0 1.0 0.1267 depp_16s
G902510995 10183.0 1.0 0.1267 depp_16s
G902519215 10183.0 1.0 0.1267 depp_16s
G902519845 10183.0 1.0 0.1267 depp_16s
G902521955 10183.0 1.0 0.1267 depp_16s
G902526805 10183.0 1.0 0.1267 depp_16s
G902527555 10183.0 1.0 0.1267 depp_16s
G902529115 10183.0 0.0 0.1266 depp_16s
G902584065 10183.0 1.0 0.1267 depp_16s
G902605755 10183.0 0.0 0.1266 depp_16s
G902610815 10183.0 1.0 0.1267 depp_16s
G902613625 10183.0 0.0 0.1266 depp_16s
G902619825 10183.0 1.0 0.1267 depp_16s
G902626505 10183.0 1.0 0.1267 depp_16s
G000183865 10183.0 5.0 0.1271 Unchunked_Claded
G000286355 10183.0 0.0 0.1266 Unchunked_Claded
G000340945 10183.0 0.0 0.1266 Unchunked_Claded
G000508305 10183.0 3.0 0.1269 Unchunked_Claded
G000523715 10183.0 1.0 0.1267 Unchunked_Claded
G000690595 10183.0 0.0 0.1266 Unchunked_Claded
G000715615 10183.0 4.0 0.127 Unchunked_Claded
G000715635 10183.0 4.0 0.127 Unchunked_Claded
G000715685 10183.0 6.0 0.1272 Unchunked_Claded
G000715915 10183.0 0.0 0.1266 Unchunked_Claded
G000720845 10183.0 0.0 0.1266 Unchunked_Claded
G000741495 10183.0 0.0 0.1266 Unchunked_Claded
G000753835 10183.0 0.0 0.1266 Unchunked_Claded
G001311865 10183.0 1.0 0.1267 Unchunked_Claded
G001312405 10183.0 1.0 0.1267 Unchunked_Claded
G001312425 10183.0 0.0 0.1266 Unchunked_Claded
G001312525 10183.0 1.0 0.1267 Unchunked_Claded
G001465115 10183.0 0.0 0.1266 Unchunked_Claded
G001517445 10183.0 0.0 0.1266 Unchunked_Claded
G001622165 10183.0 0.0 0.1266 Unchunked_Claded
G001700545 10183.0 6.0 0.1272 Unchunked_Claded
G001896575 10183.0 2.0 0.1268 Unchunked_Claded
G001938995 10183.0 1.0 0.1267 Unchunked_Claded
G002009475 10183.0 0.0 0.1266 Unchunked_Claded
G002067065 10183.0 2.0 0.1268 Unchunked_Claded
G002102225 10183.0 1.0 0.1267 Unchunked_Claded
G002159075 10183.0 2.0 0.1268 Unchunked_Claded
G002162835 10183.0 0.0 0.1266 Unchunked_Claded
G002167805 10183.0 12.0 0.1278 Unchunked_Claded
G002189105 10183.0 0.0 0.1266 Unchunked_Claded
G002279095 10183.0 1.0 0.1267 Unchunked_Claded
G002336855 10183.0 3.0 0.1269 Unchunked_Claded
G002353485 10183.0 1.0 0.1267 Unchunked_Claded
G002370555 10183.0 0.0 0.1266 Unchunked_Claded
G002372235 10183.0 0.0 0.1266 Unchunked_Claded
G002397275 10183.0 3.0 0.1269 Unchunked_Claded
G002419365 10183.0 14.0 0.128 Unchunked_Claded
G002434285 10183.0 0.0 0.1266 Unchunked_Claded
G002439665 10183.0 4.0 0.127 Unchunked_Claded
G002456035 10183.0 1.0 0.1267 Unchunked_Claded
G002498285 10183.0 0.0 0.1266 Unchunked_Claded
G002501655 10183.0 1.0 0.1267 Unchunked_Claded
G002502735 10183.0 0.0 0.1266 Unchunked_Claded
G002502785 10183.0 2.0 0.1268 Unchunked_Claded
G002505765 10183.0 0.0 0.1266 Unchunked_Claded
G002508545 10183.0 1.0 0.1267 Unchunked_Claded
G002551355 10183.0 0.0 0.1266 Unchunked_Claded
G002720745 10183.0 5.0 0.1271 Unchunked_Claded
G002763895 10183.0 5.0 0.1271 Unchunked_Claded
G002855745 10183.0 1.0 0.1267 Unchunked_Claded
G002902575 10183.0 2.0 0.1268 Unchunked_Claded
G002973635 10183.0 1.0 0.1267 Unchunked_Claded
G003050565 10183.0 6.0 0.1272 Unchunked_Claded
G003243515 10183.0 0.0 0.1266 Unchunked_Claded
G003315655 10183.0 0.0 0.1266 Unchunked_Claded
G003315675 10183.0 0.0 0.1266 Unchunked_Claded
G003388715 10183.0 0.0 0.1266 Unchunked_Claded
G003491305 10183.0 3.0 0.1269 Unchunked_Claded
G003569145 10183.0 2.0 0.1268 Unchunked_Claded
G003605065 10183.0 6.0 0.1272 Unchunked_Claded
G003712105 10183.0 0.0 0.1266 Unchunked_Claded
G003712165 10183.0 7.0 0.1273 Unchunked_Claded
G003864475 10183.0 9.0 0.1275 Unchunked_Claded
G004000035 10183.0 0.0 0.1266 Unchunked_Claded
G004143605 10183.0 2.0 0.1268 Unchunked_Claded
G004193205 10183.0 0.0 0.1266 Unchunked_Claded
G004298145 10183.0 3.0 0.1269 Unchunked_Claded
G004554205 10183.0 5.0 0.1271 Unchunked_Claded
G004569275 10183.0 1.0 0.1267 Unchunked_Claded
G005524015 10183.0 0.0 0.1266 Unchunked_Claded
G006352045 10183.0 4.0 0.127 Unchunked_Claded
G006383075 10183.0 0.0 0.1266 Unchunked_Claded
