genome count pl_error ratio cond
G000183865 10183 2 0.1268 depp
G000286355 10183 0 0.1266 depp
G000340945 10183 0 0.1266 depp
G000445185 10183 2 0.1268 depp
G000508305 10183 4 0.127 depp
G000523715 10183 1 0.1267 depp
G000690595 10183 0 0.1266 depp
G000715615 10183 0 0.1266 depp
G000715635 10183 1 0.1267 depp
G000715685 10183 1 0.1267 depp
G000715915 10183 0 0.1266 depp
G000720845 10183 0 0.1266 depp
G000741495 10183 0 0.1266 depp
G000753835 10183 0 0.1266 depp
G001311865 10183 2 0.1268 depp
G001312405 10183 1 0.1267 depp
G001312425 10183 0 0.1266 depp
G001312525 10183 1 0.1267 depp
G001465115 10183 0 0.1266 depp
G001517445 10183 0 0.1266 depp
G001622165 10183 0 0.1266 depp
G001700545 10183 2 0.1268 depp
G001896575 10183 1 0.1267 depp
G001897105 10183 3 0.1269 depp
G001897945 10183 0 0.1266 depp
G001898175 10183 1 0.1267 depp
G001898185 10183 1 0.1267 depp
G001898255 10183 1 0.1267 depp
G001898325 10183 1 0.1267 depp
G001898785 10183 1 0.1267 depp
G001898805 10183 0 0.1266 depp
G001899645 10183 0 0.1266 depp
G001938995 10183 1 0.1267 depp
G001940925 10183 1 0.1267 depp
G002009475 10183 1 0.1267 depp
G002067065 10183 1 0.1267 depp
G002067205 10183 0 0.1266 depp
G002067265 10183 0 0.1266 depp
G002067275 10183 1 0.1267 depp
G002067325 10183 1 0.1267 depp
G002067515 10183 2 0.1268 depp
G002067705 10183 0 0.1266 depp
G002102225 10183 1 0.1267 depp
G002159075 10183 0 0.1266 depp
G002162835 10183 0 0.1266 depp
G002167805 10183 1 0.1267 depp
G002189105 10183 0 0.1266 depp
G002257455 10183 0 0.1266 depp
G002279095 10183 1 0.1267 depp
G002293535 10183 2 0.1268 depp
G002296885 10183 1 0.1267 depp
G002297185 10183 0 0.1266 depp
G002299275 10183 1 0.1267 depp
G002299545 10183 1 0.1267 depp
G002299885 10183 1 0.1267 depp
G002305965 10183 1 0.1267 depp
G002306375 10183 1 0.1267 depp
G002307035 10183 3 0.1269 depp
G002307115 10183 0 0.1266 depp
G002307215 10183 2 0.1268 depp
G002308155 10183 0 0.1266 depp
G002308595 10183 1 0.1267 depp
G002309375 10183 2 0.1268 depp
G002310155 10183 1 0.1267 depp
G002314325 10183 1 0.1267 depp
G002315655 10183 3 0.1269 depp
G002316595 10183 2 0.1268 depp
G002320935 10183 1 0.1267 depp
G002331325 10183 1 0.1267 depp
G002333205 10183 1 0.1267 depp
G002336855 10183 1 0.1267 depp
G002351535 10183 2 0.1268 depp
G002353485 10183 1 0.1267 depp
G002354335 10183 2 0.1268 depp
G002358895 10183 0 0.1266 depp
G002362175 10183 1 0.1267 depp
G002363695 10183 1 0.1267 depp
G002365025 10183 1 0.1267 depp
G002365865 10183 0 0.1266 depp
G002367105 10183 0 0.1266 depp
G002368715 10183 1 0.1267 depp
G002368735 10183 4 0.127 depp
G002370555 10183 0 0.1266 depp
G002371375 10183 1 0.1267 depp
G002372175 10183 0 0.1266 depp
G002372235 10183 0 0.1266 depp
G002373045 10183 1 0.1267 depp
G002373775 10183 0 0.1266 depp
G002382495 10183 1 0.1267 depp
G002383405 10183 1 0.1267 depp
G002387895 10183 0 0.1266 depp
G002391065 10183 1 0.1267 depp
G002393705 10183 1 0.1267 depp
G002393725 10183 1 0.1267 depp
G002393815 10183 1 0.1267 depp
G002394605 10183 1 0.1267 depp
G002395405 10183 2 0.1268 depp
G002397275 10183 1 0.1267 depp
G002399615 10183 1 0.1267 depp
G002399805 10183 1 0.1267 depp
G002402575 10183 0 0.1266 depp
G002407785 10183 2 0.1268 depp
G002407845 10183 1 0.1267 depp
G002409995 10183 0 0.1266 depp
G002410825 10183 0 0.1266 depp
G002414845 10183 0 0.1266 depp
G002417895 10183 0 0.1266 depp
G002418355 10183 0 0.1266 depp
G002419145 10183 1 0.1267 depp
G002419365 10183 1 0.1267 depp
G002420705 10183 0 0.1266 depp
G002421335 10183 0 0.1266 depp
G002423705 10183 1 0.1267 depp
G002427745 10183 1 0.1267 depp
G002427885 10183 1 0.1267 depp
G002428305 10183 0 0.1266 depp
G002432345 10183 1 0.1267 depp
G002434245 10183 1 0.1267 depp
G002434285 10183 1 0.1267 depp
G002437115 10183 1 0.1267 depp
G002437815 10183 0 0.1266 depp
G002438345 10183 0 0.1266 depp
G002439165 10183 0 0.1266 depp
G002439665 10183 2 0.1268 depp
G002439705 10183 1 0.1267 depp
G002440555 10183 0 0.1266 depp
G002448495 10183 1 0.1267 depp
G002449585 10183 1 0.1267 depp
G002449845 10183 2 0.1268 depp
G002449935 10183 4 0.127 depp
G002455205 10183 1 0.1267 depp
G002455655 10183 0 0.1266 depp
G002455915 10183 1 0.1267 depp
G002455975 10183 0 0.1266 depp
G002456035 10183 0 0.1266 depp
G002471185 10183 1 0.1267 depp
G002471195 10183 1 0.1267 depp
G002472835 10183 0 0.1266 depp
G002473265 10183 1 0.1267 depp
G002476975 10183 0 0.1266 depp
G002482385 10183 0 0.1266 depp
G002483315 10183 0 0.1266 depp
G002493395 10183 1 0.1267 depp
G002494895 10183 0 0.1266 depp
G002495065 10183 1 0.1267 depp
G002495845 10183 1 0.1267 depp
G002496065 10183 1 0.1267 depp
G002496475 10183 0 0.1266 depp
G002497345 10183 0 0.1266 depp
G002497485 10183 1 0.1267 depp
G002498065 10183 0 0.1266 depp
G002498285 10183 1 0.1267 depp
G002498315 10183 0 0.1266 depp
G002498745 10183 0 0.1266 depp
G002499455 10183 0 0.1266 depp
G002501655 10183 2 0.1268 depp
G002501695 10183 0 0.1266 depp
G002501765 10183 0 0.1266 depp
G002501965 10183 2 0.1268 depp
G002502735 10183 1 0.1267 depp
G002502785 10183 0 0.1266 depp
G002502855 10183 1 0.1267 depp
G002503545 10183 1 0.1267 depp
G002505485 10183 1 0.1267 depp
G002505535 10183 1 0.1267 depp
G002505725 10183 1 0.1267 depp
G002505765 10183 0 0.1266 depp
G002506515 10183 0 0.1266 depp
G002506585 10183 1 0.1267 depp
G002506645 10183 1 0.1267 depp
G002507205 10183 0 0.1266 depp
G002508315 10183 0 0.1266 depp
G002508465 10183 0 0.1266 depp
G002508495 10183 1 0.1267 depp
G002508545 10183 1 0.1267 depp
G002508635 10183 0 0.1266 depp
G002509345 10183 1 0.1267 depp
G002509485 10183 2 0.1268 depp
G002551355 10183 0 0.1266 depp
G002631855 10183 1 0.1267 depp
G002684355 10183 1 0.1267 depp
G002702685 10183 1 0.1267 depp
G002705185 10183 0 0.1266 depp
G002712845 10183 1 0.1267 depp
G002720745 10183 1 0.1267 depp
G002763895 10183 1 0.1267 depp
G002784125 10183 0 0.1266 depp
G002786355 10183 1 0.1267 depp
G002855745 10183 1 0.1267 depp
G002902575 10183 1 0.1267 depp
G002973635 10183 1 0.1267 depp
G003050565 10183 1 0.1267 depp
G003086555 10183 0 0.1266 depp
G003136075 10183 1 0.1267 depp
G003141335 10183 1 0.1267 depp
G003161815 10183 1 0.1267 depp
G003241175 10183 2 0.1268 depp
G003243515 10183 0 0.1266 depp
G003248755 10183 1 0.1267 depp
G003250325 10183 1 0.1267 depp
G003251955 10183 0 0.1266 depp
G003266065 10183 0 0.1266 depp
G003266105 10183 0 0.1266 depp
G003266145 10183 0 0.1266 depp
G003315655 10183 0 0.1266 depp
G003315675 10183 0 0.1266 depp
G003388715 10183 0 0.1266 depp
G003446315 10183 1 0.1267 depp
G003488415 10183 0 0.1266 depp
G003491305 10183 3 0.1269 depp
G003513495 10183 1 0.1267 depp
G003513765 10183 0 0.1266 depp
G003514505 10183 1 0.1267 depp
G003521145 10183 1 0.1267 depp
G003523705 10183 0 0.1266 depp
G003525665 10183 0 0.1266 depp
G003526525 10183 0 0.1266 depp
G003526945 10183 1 0.1267 depp
G003535195 10183 1 0.1267 depp
G003535875 10183 0 0.1266 depp
G003539755 10183 1 0.1267 depp
G003551945 10183 0 0.1266 depp
G003569145 10183 2 0.1268 depp
G003605065 10183 3 0.1269 depp
G003639005 10183 0 0.1266 depp
G003712105 10183 0 0.1266 depp
G003712165 10183 1 0.1267 depp
G003857025 10183 0 0.1266 depp
G003864475 10183 5 0.1271 depp
G004000035 10183 2 0.1268 depp
G004143605 10183 2 0.1268 depp
G004193205 10183 0 0.1266 depp
G004210715 10183 1 0.1267 depp
G004295885 10183 1 0.1267 depp
G004298145 10183 1 0.1267 depp
