genome count pl_error ratio neighbor dist
G001898175 10183 3 0.1269 G001898185 27.38574981
G001898185 10183 1 0.1266 G002279095 2.01372982
G002167805 10183 3 0.1273 G001438305 54.2121
G002279095 10183 1 0.1266 G001898185 2.01372982
G002316595 10183 0 0.1267 G001512945 102.9657277
G002362175 10183 1 0.1277 G900540005 29.41859906
G002368735 10183 4 0.1272 G002395405 36.7026
G002393815 10183 18 0.1285 G002449585 24.0611817
G002419145 10183 3 0.1275 G002419365 8.32804506
G002419365 10183 5 0.1275 G002419145 8.32804506
G002439665 10183 2 0.1272 G000434475 17.92671
G002449585 10183 13 0.1278 G002393815 24.0611817
G002501765 10183 0 0.1266 G002502785 35.20837105
G002712845 10183 4 0.1276 G001642955 37.5907
G002720745 10183 5 0.1266 G902529115 5.96594363
G002763895 10183 5 0.1273 G000020525 61.10098251
G003050565 10183 6 0.1272 G000510645 118.15660843
G003535875 10183 1 0.1269 G000011025 43.1314225
G003712165 10183 5 0.127 G000284115 154.7945
G003864475 10183 3 0.1269 G000020965 109.62732115
G004295885 10183 2 0.1268 G001412215 12.26462022
G007692565 10183 0 0.1266 G000969705 71.6132
G007693335 10183 4 0.1269 G013002175 50.32826
G009780245 10183 7 0.1268 G000178255 59.14686
G009781075 10183 5 0.1271 G003250325 62.85875681
G009784005 10183 33 0.1293 G000970045 78.03244391000001
G011390885 10183 1 0.1268 G011390935 9.81077592
G012511175 10183 2 0.1268 G001512945 42.6755
G012512495 10183 9 0.1274 G001800865 96.30369726
G012518815 10183 3 0.1269 G012521395 15.80304715
G012520595 10183 5 0.1269 G012524135 21.70280304
G012521395 10183 3 0.1269 G012518815 15.80304715
G012524135 10183 3 0.127 G012520595 21.70280304
G012728895 10183 6 0.1268 G000021965 59.7561316
G900542525 10183 0 0.1269 G000434775 40.16966116
G900543715 10183 2 0.127 G900556555 21.74050295
G900544795 10183 0 0.127 G900545535 8.881085500000001
G900553655 10183 0 0.1266 G000296445 2.38926465
G900555495 10183 1 0.1267 G000296445 17.35653083
G900555625 10183 5 0.1271 G900538475 24.25368418
G902510995 10183 1 0.1268 G000384495 40.43036417
G902519215 10183 0 0.1267 G902521955 3.13084806
G902519845 10183 0 0.1266 G000384495 18.04555079
G902521955 10183 0 0.1266 G902519215 3.13084806
G902527555 10183 10 0.1273 G902626505 54.860200000000006
G902529115 10183 1 0.1267 G002720745 5.96594363
G902555055 10183 0 0.1266 G902519215 4.8702941
G902584065 10183 11 0.1271 G902527555 87.48939999999999
G902605755 10183 3 0.127 G900142205 103.7313
G902610815 10183 0 0.1266 G902555055 38.59768439
G902613625 10183 1 0.1267 G902529115 13.40213
G902619825 10183 0 0.1266 G000384495 1.34741909
G902626505 10183 8 0.1271 G902527555 54.860200000000006
G001622165 10183 0 0.1266 G000012485 4.269373
G002009475 10183 0 0.1266 G000949635 19.91283
G002299885 10183 1 0.1267 G007280515 29.6174
G002307115 10183 0 0.1266 G001873075 2.13750941
G002320935 10183 0 0.1266 G002333205 4.07565812
G002333205 10183 2 0.1266 G002320935 4.07565812
G002354335 10183 2 0.1269 G900102835 21.564872
G002399615 10183 2 0.1268 G001412215 27.47549022
G002418355 10183 0 0.1266 G000143765 1.49913814
G002420705 10183 0 0.1267 G001952815 1.96782592
G002427745 10183 3 0.1269 G001267955 34.30753643
G002432345 10183 1 0.1266 G000633455 2.70278251
G002472835 10183 1 0.1267 G002000245 3.84772
G002476975 10183 0 0.1266 G900102835 1.64762132
G002702685 10183 2 0.1268 G000181475 56.5445
G002784125 10183 0 0.1266 G000265505 9.56871148
G002786355 10183 1 0.1267 G001829005 6.13018356
G003241175 10183 13 0.1274 G900156765 60.57731644
G004210715 10183 0 0.1266 G000258495 2.65841892
G005524015 10183 0 0.1266 G000296795 2.62574562
G005843805 10183 0 0.1266 G000020645 18.08423966
G007280515 10183 1 0.1267 G002299885 29.6174
G007692705 10183 0 0.1266 G000295935 13.15480442
G010912745 10183 0 0.1266 G000020545 1.21125856
G011390805 10183 0 0.1266 G011390885 19.37955961
G011390935 10183 0 0.1266 G011390885 9.81077592
G012026935 10183 6 0.1272 G001803365 37.1452
G012269805 10183 7 0.1268 G000024845 87.505
G012523595 10183 1 0.1268 G001045525 61.80798893
G902168085 10183 0 0.1266 G001897855 23.43743271
G902168105 10183 0 0.1266 G900102545 6.6136
G902168205 10183 3 0.127 G900129725 27.2309
G002705185 10183 2 0.1267 G001044505 59.93182834
G000508305 10183 3 0.1269 G001560285 1.40015773
G000690595 10183 0 0.1266 G000230735 3.76722
G002067065 10183 2 0.1268 G012838205 15.09047443
G002067265 10183 1 0.1267 G002067275 11.25924073
G002067275 10183 1 0.1267 G001896725 8.46742193
G002067325 10183 3 0.1272 G002502855 2.54157
G002067705 10183 1 0.1266 G011391755 12.599924
G002494895 10183 2 0.1267 G000303155 21.0013735
G002495065 10183 4 0.127 G003141335 18.10268122
G002495845 10183 0 0.1266 G001316085 7.684531850000001
G002496065 10183 1 0.1268 G000016525 27.32711081
G002496475 10183 0 0.1266 G001316025 8.30249646
G002497345 10183 0 0.1266 G000193375 14.80453072
G002497485 10183 0 0.1266 G000327485 27.154761040000004
G002498065 10183 1 0.1267 G001017125 10.94165197
G002498285 10183 1 0.1266 G001421185 9.068018599999998
G002498315 10183 0 0.1266 G001571385 3.27700409
G002498745 10183 1 0.1267 G011620785 2.5631623
G002499455 10183 1 0.1267 G002501655 11.662068260000002
G002501655 10183 0 0.1267 G002499455 11.662068260000002
G002501695 10183 0 0.1266 G000306725 9.30414245
G002501965 10183 0 0.1266 G000235685 37.334416520000005
G002502735 10183 0 0.1266 G000017625 14.9774563
G002502785 10183 2 0.1268 G001509375 14.58011128
G002502855 10183 3 0.1272 G002067325 2.54157
G002503545 10183 1 0.1266 G000300255 12.00331655
G002505485 10183 3 0.1267 G000969905 6.0603609800000005
G002505535 10183 0 0.1266 G000214725 30.43735698
G002505725 10183 0 0.1266 G000214725 21.24347565
G002505765 10183 0 0.1266 G000745485 22.405519
G002506515 10183 0 0.1266 G000018305 7.156971179999999
G002506585 10183 0 0.1266 G001509255 11.13511602
G002506645 10183 2 0.1268 G001316245 8.87359055
G002507205 10183 0 0.1266 G900114835 13.52967235
G002508315 10183 0 0.1266 G001516585 19.12537912
G002508465 10183 0 0.1266 G000970305 1.8117253
G002508495 10183 0 0.1266 G013331015 15.96113
G002508545 10183 1 0.1266 G012719175 27.62721015
G002508635 10183 0 0.1266 G001577565 1.613627
G002509345 10183 4 0.127 G003141335 12.9180477
G002509485 10183 3 0.1268 G002501965 53.5636
G002855745 10183 1 0.1267 G000993805 27.09844485
G003086555 10183 1 0.1268 G001560285 31.2573707
G003136075 10183 0 0.1269 G002502735 28.25503492
G003141335 10183 1 0.127 G002509345 12.9180477
G003161815 10183 1 0.1267 G002067325 29.3456
G003251955 10183 0 0.1266 G000013445 44.746
G003266065 10183 1 0.1272 G003266145 7.589224769999999
G003266105 10183 1 0.1267 G003266145 23.80078477
G003266145 10183 1 0.1267 G003266065 7.589224769999999
G003315655 10183 0 0.1266 G000513315 15.61710573
G003315675 10183 0 0.1266 G000015765 3.13203633
G003491305 10183 3 0.1269 G000953115 1.32395152
G003551945 10183 0 0.1266 G001564135 6.750598849999999
G003857025 10183 0 0.1266 G011391755 28.53142128
G007119345 10183 0 0.1266 G000337515 24.77045346
G007121575 10183 8 0.1271 G000591055 22.24564779
G007127385 10183 0 0.1266 G000217995 4.34789973
G007135505 10183 0 0.1266 G000337515 19.80656962
G008709555 10183 0 0.1266 G000195915 9.08871911
G009379865 10183 0 0.1266 G000802205 6.46369876
